N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.538558245,0.050085232,0.137179583,0.252868652,0.021308305
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.736955523,0.004567353,0.042182125,0.212388486,0.003906449
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.804897904,0.008995664,0.069593929,0.093108304,0.023404211
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.621657848,0.013651785,0.054309651,0.301296681,0.00908407
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.22691147,0.111324117,0.108675197,0.467802346,0.085286863
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.488160938,0.098827273,0.057890184,0.230219662,0.124901973
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.569388151,0.050805252,0.072493955,0.22609216,0.081220485
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.681300521,0.013385189,0.025068484,0.278663397,0.001582441
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.522806108,0.080625236,0.081641346,0.246213645,0.068713687
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.363154352,0.217165768,0.117545888,0.209796786,0.092337206
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.529199839,0.099526636,0.124687612,0.212318882,0.034267038
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.446134418,0.068385758,0.198558465,0.261019886,0.025901457
P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.419108748,0.048970133,0.132297039,0.327171445,0.072452635
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.49535051,0.069001466,0.09647727,0.3037723,0.035398487
N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.645800233,0.023870753,0.036959544,0.286574781,0.006794677
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.37418735,0.11153464,0.299833596,0.1751827,0.039261747
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.68311882,0.01353061,0.064638197,0.23533386,0.003378527
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.476755112,0.038327813,0.137990981,0.311824501,0.035101604
N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.633857489,0.04124302,0.0935257,0.21357362,0.017800182
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.527796984,0.016397003,0.068874456,0.373505473,0.013426051
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.841313064,0.017223651,0.01176072,0.120555356,0.009147263
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.565474391,0.039966591,0.091646239,0.290078223,0.012834564
N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.46312502,0.027968647,0.102325939,0.353550404,0.053029962
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.402953833,0.045012251,0.061678328,0.323811382,0.166544199
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.79387784,0.008801125,0.016425904,0.164127707,0.016767446
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.622450471,0.019056095,0.031600852,0.286047816,0.040844828
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.722193301,0.031394772,0.0278788,0.188011616,0.030521505
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.73666501,0.012017826,0.02185904,0.216326684,0.013131492
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.351448983,0.165710568,0.08141619,0.276076734,0.125347555
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.374249071,0.040126227,0.03216349,0.511003852,0.042457387
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.875219464,0.003702716,0.010094989,0.109584369,0.00139851
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.557067275,0.100639954,0.11347425,0.215189338,0.013629191
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.587422013,0.023857702,0.08632119,0.251533419,0.050865665
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.463597596,0.048147537,0.070751347,0.389868379,0.027635198
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.353762329,0.046862762,0.04661173,0.276934564,0.2758286
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.297263384,0.015866106,0.219515458,0.417188942,0.050166152
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396646589,0.035885017,0.106741741,0.449739218,0.010987449
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.567170501,0.050778281,0.075593762,0.17600435,0.13045314
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.740723848,0.025517602,0.038006172,0.194743991,0.001008433
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.557224512,0.106228478,0.045700919,0.270408511,0.020437608
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.634506702,0.05935052,0.083408244,0.210081786,0.012652799
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.108249366,0.475385159,0.042147044,0.234425902,0.139792517
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.719696939,0.014802035,0.031186074,0.222970605,0.011344329
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.785428286,0.044776581,0.034048431,0.125649199,0.010097508
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.397140145,0.109081224,0.060386449,0.336455077,0.096937098
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.251745373,0.205227658,0.217426091,0.282954097,0.042646799
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.788224578,0.032274626,0.03179384,0.12894696,0.018760026
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.458059102,0.04463885,0.069780454,0.389323115,0.038198449
N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.55847311,0.019413067,0.019124262,0.310849816,0.092139788
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.519464314,0.055346645,0.225362778,0.177234873,0.022591406
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.612891197,0.076622352,0.163980484,0.13042599,0.016079983
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.583141565,0.013670042,0.060309835,0.24886179,0.094016805
N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.43526116,0.023509827,0.114543006,0.39632383,0.03036228
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678592145,0.021003149,0.065906994,0.18542406,0.049073655
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.60117054,0.025698027,0.104626074,0.259063154,0.009442171
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.708950818,0.015175617,0.019377045,0.242096543,0.014399923
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.416617334,0.061304785,0.087012522,0.414979517,0.020085825
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.478717834,0.053611502,0.285175115,0.180729076,0.001766482
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.557133734,0.021237751,0.031118087,0.374268234,0.016242156
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.515250742,0.088766523,0.091597974,0.289327294,0.015057424
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.695685685,0.01221716,0.061863329,0.220393643,0.009840193
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.595450401,0.023525208,0.100578643,0.262373686,0.01807203
N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.587308764,0.008416083,0.039642006,0.357141942,0.007491288
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.278493226,0.287896991,0.094366163,0.317996025,0.021247612
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.385397673,0.040014639,0.02834215,0.522414446,0.023831088
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.218341708,0.037426937,0.106229365,0.592037201,0.045964837
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.555283129,0.02979931,0.045143414,0.344200253,0.02557392
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.631324768,0.020479273,0.037938062,0.292405367,0.017852521
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.782126248,0.01596643,0.023993975,0.176364586,0.001548726
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.435378879,0.059061736,0.076254956,0.40691191,0.022392517
P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.61051929,0.036400888,0.049456812,0.278854936,0.024768043
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.355650961,0.07906609,0.09662351,0.400977671,0.067681745
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.400164962,0.084283724,0.11953859,0.367659152,0.028353622
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.584082425,0.085582078,0.1526452,0.149965644,0.027724635
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.792806387,0.040637769,0.018734116,0.134322703,0.013499028
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.461231411,0.029103979,0.047217406,0.457746267,0.004700976
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.577152491,0.014841981,0.046392456,0.350855827,0.010757254
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.528098047,0.033196673,0.09782894,0.321736604,0.019139705
P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.483695984,0.05606946,0.140582621,0.264923334,0.05472862
P+,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.39769277,0.092723459,0.063862406,0.280373573,0.165347725
N,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.439316601,0.038454413,0.10042724,0.370872051,0.050929695
N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.90728569,0.010849504,0.011337513,0.067235738,0.003291545
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.653545737,0.010329881,0.194801539,0.135612518,0.005710371
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.550464511,0.017780766,0.036257587,0.380593896,0.014903259
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.507192731,0.087312855,0.107841596,0.284695506,0.012957305
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.471165776,0.060659658,0.089544222,0.345030606,0.033599697
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.625231385,0.009537817,0.192432076,0.153439417,0.019359263
NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.717611551,0.012922161,0.04007937,0.225061864,0.00432505
P,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.674778581,0.034641158,0.055469729,0.213939711,0.021170884
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.411873758,0.162445173,0.061682075,0.320186645,0.043812368
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.225627214,0.016598079,0.091126665,0.467014909,0.199633136
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.24456279,0.007567417,0.063877046,0.66254735,0.021445354
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.546006739,0.053729966,0.028813673,0.348067582,0.023381986
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.463446379,0.027151711,0.035319865,0.312221467,0.161860541
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.369407326,0.082152337,0.192670286,0.332569063,0.023200974
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.489654034,0.057126906,0.148341298,0.252397418,0.052480385
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.492452919,0.076165475,0.046559684,0.332016796,0.052805163
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.134073421,0.194937378,0.043690227,0.424678832,0.202620164
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.30484581,0.136754453,0.109530419,0.406235546,0.042633787
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.764608622,0.020556202,0.046064198,0.158314362,0.01045669
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.773421764,0.029347394,0.048331659,0.139787361,0.009111895
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.187282935,0.109283492,0.252354771,0.417612076,0.033466734
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.641618252,0.010954638,0.111645103,0.21673727,0.019044697
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.439993978,0.035419188,0.090651982,0.413091689,0.020843176
N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.185572714,0.037653301,0.024570234,0.552903473,0.199300304
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.211939916,0.232944891,0.121273547,0.363469511,0.070372097
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.096728802,0.398855597,0.053417504,0.181790084,0.269208014
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.562960505,0.061483517,0.077585146,0.261842132,0.036128707
N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.657766104,0.032904223,0.048825126,0.249756709,0.01074786
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.562875509,0.012642093,0.05078141,0.369016826,0.004684123
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.559147,0.029315574,0.133457631,0.266551435,0.01152838
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.488728523,0.013474115,0.072632514,0.421334743,0.00383009
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.569391131,0.03963998,0.052419029,0.306421697,0.032128211
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.672502995,0.042851258,0.041764162,0.226739511,0.016142029
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.586637855,0.025854923,0.039234899,0.240809321,0.107462935
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.504476607,0.031581059,0.114719316,0.327480048,0.021743003
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.588954091,0.02803554,0.154294133,0.196679503,0.032036681
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.730964065,0.019221999,0.04927548,0.19217591,0.008362544
N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.477015793,0.023156822,0.027636582,0.318177581,0.154013261
N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.638075709,0.013409431,0.060461953,0.280903816,0.007149083
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.729814649,0.009201627,0.053105243,0.201006949,0.00687154
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.499603599,0.064195931,0.04925558,0.266874492,0.120070443
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.778802276,0.015086295,0.064227492,0.125641868,0.016242018
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.375288546,0.09119752,0.045733042,0.457803518,0.029977402
N,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.627174377,0.048689965,0.070182554,0.190079987,0.063873075
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.804571509,0.013384101,0.029146172,0.14323853,0.009659783
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.631217837,0.007722713,0.0414766,0.315878034,0.003704849
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.572774827,0.042662118,0.146707192,0.226193547,0.011662323
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.75323534,0.01315971,0.021548903,0.199155256,0.01290084
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.471342981,0.061712123,0.047223192,0.375393629,0.04432809
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.691227734,0.028242473,0.026539853,0.137731433,0.11625845
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.09121199,0.077250689,0.42041558,0.380229026,0.030892698
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499777585,0.047723159,0.087473489,0.289008617,0.076017201
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.415633529,0.015642263,0.287555486,0.253519863,0.027648823
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.649422526,0.004656237,0.015918065,0.324118733,0.005884428
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.380493402,0.057526171,0.064482108,0.487644732,0.009853617
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.599822521,0.061525717,0.100830279,0.210946828,0.026874637
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.654177427,0.026731241,0.054104891,0.25406307,0.010923424
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.711072445,0.004296619,0.007632298,0.244982749,0.03201592
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.465329885,0.057693824,0.055185691,0.37999779,0.041792877
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.656762242,0.038897317,0.024948301,0.274769932,0.004622183
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.587638974,0.003776889,0.036877897,0.346550405,0.025155857
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.244568646,0.052929319,0.074094638,0.573034406,0.055372976
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.667271495,0.060079463,0.052676763,0.216234788,0.003737507
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.291061163,0.153502092,0.109128542,0.401108861,0.045199342
